Province_State,Country_Region,Confirmed,Deaths,Incident_Rate,Date
Acre,Brazil,41689,796,4726.992352044085,2021-01-01
Alagoas,Brazil,105091,2496,3148.9289278911424,2021-01-01
Amapa,Brazil,68361,926,8083.066601555341,2021-01-01
Amazonas,Brazil,201574,5295,4863.536792600101,2021-01-01
Bahia,Brazil,494684,9159,3326.039610936926,2021-01-01
Ceara,Brazil,336504,10004,3679.25022103403,2021-01-01
Distrito Federal,Brazil,252077,4263,8360.019739538906,2021-01-01
Espirito Santo,Brazil,249271,5093,6202.580468565314,2021-01-01
Goias,Brazil,309191,6805,4404.33754125255,2021-01-01
Maranhao,Brazil,200959,4506,2840.337229535188,2021-01-01
Mato Grosso,Brazil,180659,4530,5157.289524420672,2021-01-01
Mato Grosso do Sul,Brazil,135361,2360,4848.890926402652,2021-01-01
Minas Gerais,Brazil,546884,12001,2583.4446568063336,2021-01-01
Para,Brazil,293807,7209,3415.1645992352546,2021-01-01
Paraiba,Brazil,167062,3680,4157.708305387062,2021-01-01
Parana,Brazil,418323,7993,3658.602179455459,2021-01-01
Pernambuco,Brazil,222993,9666,2333.2776328647133,2021-01-01
Piaui,Brazil,143210,2848,4374.245965831273,2021-01-01
Rio Grande do Norte,Brazil,119338,3009,3374.906219336824,2021-01-01
Rio Grande do Sul,Brazil,451912,8917,3972.070904021617,2021-01-01
Rio de Janeiro,Brazil,435390,25600,2521.8154499554385,2021-01-01
Rondonia,Brazil,95999,1822,5401.623317250207,2021-01-01
Roraima,Brazil,68858,787,11342.757292067334,2021-01-01
Santa Catarina,Brazil,494447,5270,6901.0695082673765,2021-01-01
Sao Paulo,Brazil,1466191,46775,3192.990778184452,2021-01-01
Sergipe,Brazil,113544,2492,4939.496131719897,2021-01-01
Tocantins,Brazil,90592,1239,5756.116541396406,2021-01-01
Acre,Brazil,41941,798,4755.565886374846,2021-01-02
Alagoas,Brazil,105361,2502,3157.019162169345,2021-01-02
Amapa,Brazil,68441,927,8092.52587406634,2021-01-02
Amazonas,Brazil,201867,5325,4870.606237470133,2021-01-02
Bahia,Brazil,495286,9187,3330.0871965588262,2021-01-02
Ceara,Brazil,336574,10015,3685.6233597654336,2021-01-02
Distrito Federal,Brazil,252874,4268,8386.451884210624,2021-01-02
Espirito Santo,Brazil,250244,5115,6226.643275726923,2021-01-02
Goias,Brazil,309320,6805,4405.505906370639,2021-01-02
Maranhao,Brazil,200976,4513,2840.577506073696,2021-01-02
Mato Grosso,Brazil,180901,4539,5164.005044101449,2021-01-02
Mato Grosso do Sul,Brazil,135917,2372,4870.877363182111,2021-01-02
Minas Gerais,Brazil,549302,12023,2594.8671324687366,2021-01-02
Para,Brazil,294010,7217,3415.222719408011,2021-01-02
Paraiba,Brazil,167615,3692,4171.47093658314,2021-01-02
